feature,emotion
[0.         0.         0.         ... 0.05127914 0.07946448 0.00753602],4
[0.17815336 0.26435787 0.1851061  ... 0.00109521 0.02738024 0.02050412],4
[0.29961745 0.29961745 0.26311947 ... 0.         0.         0.        ],7
[0.30450251 0.03793461 0.00599799 ... 0.         0.         0.24543523],7
[0.05381218 0.         0.18133015 ... 0.30159016 0.08712222 0.03758424],3
[0.18894459 0.23355886 0.23355886 ... 0.02842361 0.02469915 0.06148751],5
[0.04679153 0.01820476 0.13496982 ... 0.0707501  0.07215122 0.07289444],4
[0.1383056  0.03034544 0.06423054 ... 0.25361541 0.25361541 0.11430962],0
[0.15729609 0.         0.         ... 0.         0.04946037 0.        ],6
[0.23011362 0.05626596 0.05362977 ... 0.07325303 0.07887779 0.16877978],2
[0.24457397 0.24457397 0.14773407 ... 0.08622254 0.15586208 0.02695776],7
[0.02371104 0.         0.01487798 ... 0.         0.03884809 0.10698661],3
[0.06094248 0.         0.         ... 0.00481152 0.04758645 0.01405213],2
[0.38550259 0.         0.         ... 0.         0.         0.        ],6
[0.05888558 0.03871773 0.03662026 ... 0.20210956 0.18405458 0.15266402],1
[0.05425101 0.08937143 0.10175194 ... 0.0682645  0.03326672 0.01902523],3
[0.13404549 0.06297389 0.17513131 ... 0.10028412 0.18439059 0.32799064],3
[0.37556695 0.05626901 0.0237454  ... 0.         0.         0.05337344],3
[0.12979545 0.01031136 0.19419104 ... 0.02844272 0.         0.        ],4
[0.0805892  0.00991373 0.0397195  ... 0.         0.10709099 0.        ],7
[0.27049258 0.17498408 0.27049258 ... 0.         0.         0.23548785],5
[0.25579098 0.25579098 0.25579098 ... 0.19050224 0.03222001 0.06935451],2
[0.19291134 0.13574017 0.20442574 ... 0.14412801 0.02224827 0.00388681],2
[0.05524421 0.24203122 0.28231854 ... 0.00238662 0.01663515 0.49394594],1
[0.26245108 0.01293105 0.00990765 ... 0.07345701 0.0147415  0.        ],5
[0.30405024 0.30405024 0.20047662 ... 0.13546605 0.36543913 0.36543913],5
[0.28710109 0.28710109 0.25936572 ... 0.20038516 0.35159798 0.03441473],3
[0.36246832 0.         0.07843258 ... 0.06002813 0.         0.08869291],1
[0.25750046 0.09991031 0.08060325 ... 0.14412607 0.09238276 0.05534115],4
[0.34615189 0.02076919 0.         ... 0.0667673  0.30273339 0.32719812],0
[0.16610377 0.15776595 0.1498481  ... 0.02284818 0.05450129 0.04056711],0
[0.1702762  0.00946999 0.03751635 ... 0.04854104 0.07962702 0.07782708],5
[0.40462507 0.         0.         ... 0.         0.01223902 0.        ],6
[0.01027912 0.00208953 0.00528614 ... 0.18775081 0.05759317 0.00989816],4
[0.26352005 0.02456379 0.07767751 ... 0.03913742 0.26230853 0.37971488],6
[0.19829303 0.0852144  0.07652793 ... 0.01541457 0.04996348 0.06771458],5
[0.34457222 0.07454886 0.         ... 0.         0.15662429 0.1504847 ],4
[0.37431508 0.21741334 0.06637498 ... 0.11855072 0.03819742 0.02342325],4
[0.05234006 0.00707298 0.04157474 ... 0.15777328 0.01883319 0.        ],2
[0.31656175 0.14343022 0.08635611 ... 0.04424841 0.09582844 0.11873095],5
[0.17449948 0.08197599 0.         ... 0.29462236 0.29462236 0.14755514],5
[0.04097364 0.32706385 0.04339983 ... 0.19693133 0.23179981 0.14074489],6
[0.20768737 0.22856816 0.07809344 ... 0.00625181 0.01250995 0.05975503],5
[0.21930495 0.035321   0.         ... 0.         0.01316078 0.02426728],5
[0.08684577 0.         0.         ... 0.         0.         0.        ],4
[0.22187403 0.08753763 0.06897884 ... 0.09838043 0.20008906 0.05058901],5
[0.2371913  0.3066017  0.3066017  ... 0.23522965 0.21794972 0.17631685],5
[0.24047241 0.18058984 0.10101207 ... 0.13350747 0.         0.        ],5
[0.01145389 0.01602656 0.28985969 ... 0.07028641 0.         0.02636727],6
[0.26671947 0.19117437 0.17445584 ... 0.07333637 0.03676309 0.2220401 ],3
[0.08832188 0.04600163 0.06741947 ... 0.13382868 0.07846304 0.1295903 ],2
[0.06029683 0.00574967 0.00301987 ... 0.         0.         0.        ],7
[0.05773297 0.04877681 0.         ... 0.13237137 0.06540491 0.32578546],0
[0.13603254 0.03131951 0.04065424 ... 0.01415033 0.15591173 0.22489718],5
[0.27464715 0.         0.         ... 0.         0.         0.        ],5
[0.32386527 0.         0.01995826 ... 0.         0.04413206 0.08626775],5
[0.32185913 0.11290129 0.         ... 0.34669983 0.35208566 0.15732192],0
[0.03413753 0.         0.         ... 0.         0.1037646  0.3017166 ],0
[0.26725868 0.26725868 0.11225811 ... 0.22906808 0.1413163  0.20034387],4
[0.41728379 0.41728379 0.0480075  ... 0.         0.00591853 0.01509128],6
[0.32794498 0.         0.05895481 ... 0.         0.         0.        ],4
[0.01785859 0.01968955 0.15316407 ... 0.36504266 0.09057261 0.01824016],7
[0.15028865 0.10155176 0.02476447 ... 0.12341953 0.2631859  0.28551728],5
[0.29149706 0.18992311 0.23882719 ... 0.13678274 0.08194977 0.        ],5
[0.27632527 0.1784297  0.08561286 ... 0.         0.01095235 0.06075562],5
[0.21648382 0.28151787 0.13661084 ... 0.25161622 0.02832405 0.        ],5
[0.19067332 0.11627959 0.17159722 ... 0.1230898  0.15687171 0.29835596],1
[0.01340727 0.0024983  0.01121689 ... 0.01398934 0.02211908 0.25284972],4
[0.16424498 0.1533349  0.08931914 ... 0.05592759 0.1795729  0.04719738],7
[0.04450413 0.01483471 0.03167691 ... 0.         0.01160169 0.02303543],4
[0.32840478 0.05418497 0.         ... 0.         0.07301466 0.        ],6
[0.31107978 0.34176192 0.2736422  ... 0.02506148 0.01981284 0.        ],5
[0.38546577 0.         0.         ... 0.01813298 0.01813298 0.        ],5
[0.40262255 0.         0.         ... 0.23860826 0.         0.        ],0
[0.33978551 0.         0.         ... 0.00745717 0.         0.        ],3
[0.24089718 0.24089718 0.04658446 ... 0.         0.04474476 0.15253131],5
[0.20097485 0.12928097 0.15689473 ... 0.22852535 0.13295858 0.027961  ],4
[0.23254953 0.23254953 0.16130975 ... 0.02558445 0.022551   0.05217301],6
[0.18660427 0.10039114 0.06031869 ... 0.28022988 0.2640154  0.09323203],6
[0.21568276 0.         0.         ... 0.00355737 0.04317848 0.        ],5
[0.41547747 0.         0.         ... 0.         0.         0.08234109],5
[0.33624406 0.33624406 0.26382047 ... 0.34083398 0.14808837 0.07352829],7
[0.3568922  0.23612972 0.1228485  ... 0.11637019 0.39843098 0.1283708 ],1
[0.00870387 0.         0.00527534 ... 0.03501231 0.05453343 0.30135281],2
[0.24754255 0.07448252 0.10947973 ... 0.00919613 0.02702064 0.07809436],2
[0.         0.         0.         ... 0.         0.07898468 0.07250685],4
[0.1972036  0.         0.00324288 ... 0.02390961 0.1133918  0.22457628],5
[0.2613235  0.2613235  0.2613235  ... 0.12933907 0.02158162 0.18434845],2
[0.16021709 0.13619654 0.09466728 ... 0.28618731 0.16614303 0.04222118],4
[0.26587328 0.05157832 0.0913163  ... 0.25740314 0.18555898 0.25740314],5
[0.0173339  0.         0.00272376 ... 0.0476844  0.         0.        ],5
[0.29257751 0.0531058  0.10319402 ... 0.         0.00719086 0.0255213 ],2
[0.07379647 0.0436376  0.01323003 ... 0.08593559 0.09567754 0.        ],7
[0.31499133 0.22195792 0.07096285 ... 0.         0.         0.        ],5
[0.24672655 0.06562202 0.12246276 ... 0.         0.04387728 0.34757809],6
[0.1994299  0.13925194 0.11344474 ... 0.02858267 0.08203507 0.08399568],4
[0.17450362 0.04335577 0.         ... 0.25264865 0.28032703 0.24481335],4
[0.28908634 0.25995618 0.2128019  ... 0.18716013 0.12570854 0.02353603],5
[0.37559564 0.07116266 0.06665894 ... 0.26233766 0.26522757 0.26522757],6
[0.142613   0.24804852 0.2795167  ... 0.27991095 0.05011746 0.15384547],5
[0.24702374 0.17935246 0.03470475 ... 0.21877471 0.24658118 0.02738492],0
[0.24836544 0.22412669 0.23289095 ... 0.06958891 0.03581191 0.12724186],5
[0.0572998  0.05283364 0.14315379 ... 0.02319454 0.01354732 0.06486635],3
[0.26283378 0.23235493 0.16963753 ... 0.         0.37605667 0.37605667],4
[0.1748846  0.10201623 0.00630393 ... 0.         0.         0.        ],5
[0.38189888 0.03481524 0.03008749 ... 0.         0.05345567 0.0402168 ],7
[0.06820883 0.01759753 0.28851361 ... 0.01299941 0.02654586 0.07728123],3
[0.31797503 0.05628241 0.         ... 0.         0.         0.        ],4
[0.24004519 0.24645028 0.26550849 ... 0.04779589 0.         0.01416964],5
[0.31631075 0.12254322 0.0637649  ... 0.08975018 0.25908737 0.25908737],3
[0.14063273 0.01957585 0.21398574 ... 0.01425755 0.         0.1468968 ],3
[0.25111189 0.05203482 0.1293404  ... 0.20503483 0.2057682  0.24634553],5
[0.25042971 0.20268868 0.24068881 ... 0.01092365 0.00886078 0.0124929 ],0
[0.11542982 0.02510998 0.07360172 ... 0.1728439  0.1344092  0.10965278],6
[0.03978233 0.0147342  0.06700642 ... 0.01374229 0.         0.06035797],3
[0.35933542 0.06088665 0.         ... 0.         0.06456783 0.        ],5
[0.06785103 0.03318579 0.45657711 ... 0.         0.         0.        ],5
[0.16656632 0.03683323 0.01451804 ... 0.03764793 0.01505595 0.42478702],5
[0.24097447 0.02049768 0.00586738 ... 0.16522008 0.28598324 0.09343104],4
[0.21579353 0.27842184 0.27842184 ... 0.19942662 0.11665022 0.07792407],5
[0.14393892 0.         0.02879567 ... 0.         0.05102395 0.15964299],4
[0.11786944 0.02196367 0.09097955 ... 0.04718834 0.07510689 0.08360867],5
[0.03043051 0.28784912 0.16141573 ... 0.02750768 0.007813   0.        ],5
[0.04898396 0.         0.03891356 ... 0.05264378 0.02792231 0.00466972],5
[0.43804905 0.07507413 0.02963936 ... 0.13048467 0.16498271 0.08264354],4
[0.24918802 0.0536411  0.         ... 0.         0.         0.        ],4
[0.10137128 0.11436031 0.02800487 ... 0.27537468 0.15352663 0.12362323],6
[0.22237254 0.13716285 0.14614317 ... 0.12159423 0.17214979 0.07385365],7
[0.36431436 0.05469212 0.         ... 0.         0.         0.        ],5
[0.09225791 0.07021173 0.05029314 ... 0.30479755 0.21007344 0.0681625 ],4
[0.25623027 0.04139011 0.24414404 ... 0.26402133 0.26402133 0.13513802],2
[0.0421878 0.        0.        ... 0.        0.        0.       ],4
[0.13414391 0.06547192 0.21063551 ... 0.34576875 0.4310653  0.04518805],3
[0.27481288 0.10756899 0.06270093 ... 0.00714728 0.03390251 0.        ],4
[0.24358618 0.24358618 0.24358618 ... 0.04635067 0.00832535 0.0095204 ],0
[0.35450253 0.21852898 0.14378541 ... 0.23605845 0.01809079 0.08347366],5
[0.09943333 0.02042551 0.03037785 ... 0.12791207 0.10444949 0.03531129],4
[0.24376238 0.20662694 0.14171719 ... 0.46124917 0.13003964 0.10236824],1
[0.25474527 0.18693531 0.14324512 ... 0.02008426 0.03469487 0.15966113],5
[0.156825   0.11280345 0.07256625 ... 0.08615475 0.06258327 0.06551233],4
[0.29330675 0.         0.         ... 0.         0.         0.30202166],5
[0.40333309 0.10568426 0.0668406  ... 0.         0.         0.        ],5
[0.27189879 0.19875892 0.01045942 ... 0.00516071 0.00456147 0.03244229],7
[0.2471697  0.00400499 0.         ... 0.1123597  0.18729293 0.03120119],2
[0.30083338 0.         0.         ... 0.         0.         0.        ],4
[0.30470291 0.09468681 0.08123267 ... 0.09013532 0.17925407 0.30785244],5
[0.41752402 0.07414879 0.0510358  ... 0.         0.04313087 0.0415286 ],5
[0.0490275  0.02934745 0.00713106 ... 0.10229872 0.24814183 0.11010959],4
[0.35725106 0.         0.00922851 ... 0.02713199 0.35774685 0.35774685],5
[0.27279979 0.01947313 0.01675525 ... 0.01837911 0.         0.        ],4
[0.25625242 0.40444464 0.06795374 ... 0.01144007 0.16967544 0.10425716],5
[0.26112417 0.30726905 0.12189746 ... 0.06529157 0.08512183 0.        ],5
[0.         0.         0.         ... 0.04348701 0.10106203 0.30175692],1
[0.3165917  0.04937408 0.09297595 ... 0.         0.12365537 0.        ],5
[0.23761093 0.15525624 0.09606191 ... 0.15841485 0.15240732 0.03691639],4
[0.         0.         0.         ... 0.03602519 0.         0.08774841],5
[0.35859696 0.06729697 0.12768702 ... 0.         0.1750842  0.        ],5
[0.21679517 0.         0.         ... 0.10533478 0.04033828 0.0264091 ],0
[0.24590137 0.100287   0.11152598 ... 0.26913209 0.10033665 0.00812587],5
[0.23121483 0.056373   0.1892163  ... 0.08077164 0.15620582 0.25660363],5
[0.2095905  0.05969179 0.06069339 ... 0.11856492 0.06829653 0.02834724],5
[0.08503824 0.22582905 0.06743436 ... 0.04565539 0.         0.        ],5
[0.21111562 0.         0.06073011 ... 0.14750236 0.29528123 0.27525405],3
[0.25315364 0.         0.14931673 ... 0.         0.09945627 0.        ],3
[0.13858099 0.01992514 0.01540383 ... 0.         0.         0.        ],5
[0.10844312 0.01089273 0.00688916 ... 0.         0.         0.        ],1
[0.02513599 0.00351286 0.00444346 ... 0.20410258 0.09476846 0.09864924],7
[0.32512419 0.         0.         ... 0.         0.         0.        ],5
[0.29328439 0.10962865 0.0301723  ... 0.2789835  0.2789835  0.05286986],3
[0.37431581 0.         0.         ... 0.         0.         0.        ],4
[0.24771382 0.11441787 0.24771382 ... 0.26878599 0.00828286 0.07040655],5
[0.32870375 0.15526126 0.07364688 ... 0.12381516 0.09788449 0.10382217],6
[0.06197191 0.         0.01229411 ... 0.08445482 0.17825272 0.3533657 ],5
[0.30773329 0.00801726 0.         ... 0.26040369 0.13079345 0.02095804],5
[0.24840913 0.24840913 0.15580994 ... 0.07688927 0.02417745 0.09277832],3
[0.32062077 0.2105706  0.32062077 ... 0.         0.10163161 0.57413007],7
[0.14134152 0.01317968 0.01998425 ... 0.         0.         0.        ],4
[0.14722876 0.22219651 0.07326694 ... 0.         0.14725806 0.28671013],5
[0.31098316 0.04091884 0.02385958 ... 0.         0.08477616 0.        ],6
[0.26095404 0.1406542  0.26095404 ... 0.09747692 0.17614044 0.22173447],6
[0.09314197 0.08059062 0.34862945 ... 0.03292801 0.04735673 0.        ],0
[0.04071851 0.00561162 0.03323381 ... 0.1839801  0.09694288 0.        ],1
[0.39119096 0.         0.         ... 0.         0.         0.        ],5
[0. 0. 0. ... 0. 0. 0.],4
[0.35465973 0.05283835 0.         ... 0.         0.         0.        ],4
[0.         0.         0.         ... 0.23520439 0.0074215  0.03629527],5
[0.30553925 0.09044847 0.01612618 ... 0.         0.         0.37364507],5
[0.2042723  0.07797877 0.13945527 ... 0.06536577 0.07557495 0.13200046],6
[0.29142669 0.29142669 0.29142669 ... 0.01521364 0.01654976 0.03335815],4
[0.28001477 0.2122076  0.02143011 ... 0.08650319 0.05929814 0.        ],5
[0.13947955 0.         0.         ... 0.28829652 0.15854774 0.10964379],7
[0.26245342 0.21682448 0.27602966 ... 0.28369263 0.33616834 0.33616834],7
[0.14493834 0.09432019 0.18328002 ... 0.02297987 0.0239415  0.02563979],0
[0.34808771 0.22514925 0.07253365 ... 0.         0.         0.        ],5
[0.41015246 0.07708561 0.         ... 0.         0.         0.03501055],5
[0.11994109 0.02028409 0.         ... 0.         0.         0.        ],5
[0.         0.         0.         ... 0.01186885 0.01635541 0.04169528],4
[0.0384573  0.08384583 0.2119187  ... 0.16852033 0.05892158 0.09725402],7
[0. 0. 0. ... 0. 0. 0.],5
[0.21871267 0.03727963 0.01877571 ... 0.         0.         0.        ],5
[0. 0. 0. ... 0. 0. 0.],7
[0.         0.         0.         ... 0.24646651 0.24646651 0.16337438],6
[0.05017622 0.02225814 0.01152665 ... 0.01124465 0.00385688 0.        ],7
[0.29065414 0.29065414 0.02302232 ... 0.05726711 0.0376682  0.03645458],0
[0.31456835 0.19611402 0.11213661 ... 0.03682913 0.01443885 0.00680654],5
[0.11057239 0.         0.         ... 0.         0.03278392 0.        ],7
[0.11603745 0.0265115  0.01630779 ... 0.13547108 0.10445062 0.16507873],2
[0.3425787  0.         0.02260833 ... 0.         0.         0.        ],5
[0.04117759 0.01696241 0.00823552 ... 0.0215539  0.04129979 0.0065926 ],4
[0.29049405 0.         0.0684701  ... 0.         0.         0.        ],5
[0.30870928 0.07508793 0.08858158 ... 0.28075861 0.08404516 0.        ],6
[0.2590227  0.16225986 0.16388963 ... 0.05475269 0.1782524  0.10822846],1
[0.03867922 0.02467952 0.3589861  ... 0.12147324 0.08552431 0.06441232],5
[0.10063569 0.         0.1246068  ... 0.01374473 0.00848404 0.00599912],5
[0.13395747 0.         0.00817901 ... 0.03390496 0.         0.        ],3
[0.17223253 0.14392929 0.14239225 ... 0.         0.03301728 0.08042608],5
[0.14699613 0.05488711 0.02130439 ... 0.14341678 0.31834344 0.10425876],5
[0.24646577 0.09195886 0.07867786 ... 0.10549317 0.16939051 0.3078124 ],5
[0.00285525 0.         0.00514738 ... 0.30337194 0.23430974 0.        ],2
[0.10927311 0.01103532 0.01159207 ... 0.         0.         0.        ],5
[0.23270663 0.45841218 0.03408218 ... 0.13621821 0.12922794 0.        ],7
[0.10816209 0.13752923 0.08439342 ... 0.20547243 0.13409511 0.15546628],2
[0.11981382 0.06007821 0.1188303  ... 0.10514348 0.         0.        ],4
[0.14928144 0.09256009 0.17283298 ... 0.14050117 0.14372629 0.24821448],4
[0.2536293  0.10709171 0.1298567  ... 0.06168755 0.03640727 0.00707249],1
[0.05206476 0.07906821 0.35741149 ... 0.         0.01174329 0.        ],4
[0.09805913 0.         0.02773531 ... 0.         0.         0.        ],7
[0.08773555 0.09256449 0.08356646 ... 0.02898732 0.         0.        ],5
[0.09991443 0.03662984 0.35547968 ... 0.12504948 0.2763588  0.27761945],4
[0.38725229 0.         0.         ... 0.11787126 0.03980575 0.        ],7
[0.23247937 0.17116745 0.25804494 ... 0.         0.         0.        ],5
[0.1687759 0.        0.        ... 0.        0.        0.       ],4
[0.0077016  0.00397414 0.02108386 ... 0.         0.         0.        ],2
[0.26325325 0.06243123 0.05515501 ... 0.0249283  0.03342587 0.31451565],3
[0.25687021 0.11767331 0.14578349 ... 0.06266019 0.11910083 0.37891545],5
[0.24225047 0.18883318 0.1936949  ... 0.12546639 0.17209348 0.24096652],4
[0.23532728 0.1017497  0.11226599 ... 0.17816339 0.13507745 0.17059266],3
[0.39124475 0.         0.00709316 ... 0.06484443 0.02581548 0.29933246],2
[0.23756742 0.1171063  0.20076765 ... 0.         0.         0.01890188],5
[0.14736796 0.06291908 0.04884372 ... 0.10414393 0.18483001 0.07051844],7
[0.30339698 0.1354754  0.07679552 ... 0.03780499 0.07197824 0.13568007],4
[0.41413241 0.         0.         ... 0.         0.         0.        ],5
[0.25749393 0.25749393 0.1922177  ... 0.02487306 0.0433303  0.01143542],2
[0.22284161 0.04405718 0.02178144 ... 0.         0.07818753 0.        ],4
[0.2418358  0.23018635 0.19080077 ... 0.11552804 0.13990443 0.06959185],5
[0.06916624 0.         0.19009527 ... 0.07063754 0.04456347 0.06302226],5
[0.31993222 0.         0.01338708 ... 0.13996858 0.28541527 0.28541527],4
[0.28194707 0.28194707 0.28194707 ... 0.00235968 0.01230484 0.00476798],2
[0.06784265 0.03479721 0.02995851 ... 0.01366351 0.12578213 0.32817132],4
[0.05225062 0.00730225 0.         ... 0.         0.         0.        ],6
[0.24094101 0.24094101 0.21311053 ... 0.28153492 0.12453057 0.        ],4
[0.         0.         0.         ... 0.         0.         0.14388353],7
[0.13089253 0.00583476 0.01845112 ... 0.04722456 0.04363482 0.04958861],2
[0.21315529 0.11549949 0.1112912  ... 0.02062022 0.         0.00983894],3
[0.18434457 0.22930765 0.11710786 ... 0.06296105 0.13559998 0.08689877],0
[0.06543134 0.         0.01362596 ... 0.06244976 0.         0.        ],5
[0.         0.         0.         ... 0.         0.         0.01244258],2
[0.32304386 0.32304386 0.16027106 ... 0.00836751 0.07653117 0.03338608],5
[0.15300921 0.17038131 0.05247803 ... 0.21535737 0.07031603 0.18587946],4
[0.11620573 0.07540511 0.19630276 ... 0.22100764 0.14598828 0.18566503],0
[0.07514588 0.00937205 0.01701419 ... 0.17364338 0.06250369 0.1271114 ],1
[0.32142593 0.32142593 0.13086406 ... 0.00940741 0.25307372 0.33496066],2
[0.36617601 0.1831662  0.07113347 ... 0.09008558 0.11705552 0.08076528],5
[0.40468889 0.05670847 0.11027972 ... 0.03221518 0.04736913 0.03136176],1
[0.21397375 0.02458662 0.01232963 ... 0.         0.         0.        ],6
[0.36014211 0.         0.         ... 0.03704112 0.         0.        ],5
[0.30629884 0.01461214 0.0106319  ... 0.         0.         0.        ],5
[0.         0.         0.         ... 0.10579164 0.22642119 0.27377105],6
[0.13186056 0.         0.13845499 ... 0.04520506 0.07639147 0.02921463],3
[0.28136865 0.03009296 0.00768415 ... 0.00698051 0.02575337 0.01198681],7
[0.21779125 0.04571293 0.02051648 ... 0.34837738 0.34837738 0.34837738],5
[0.30440027 0.04936168 0.11950103 ... 0.03779461 0.09868329 0.08309645],5
[0.01738018 0.         0.         ... 0.08820841 0.05465255 0.29118307],0
[0.28671888 0.28671888 0.16852819 ... 0.11019758 0.03748882 0.01152053],1
[0.04425301 0.02476409 0.03056654 ... 0.         0.00426047 0.15225057],4
[0.30129556 0.12651512 0.16428945 ... 0.00770287 0.03787598 0.41998185],1
[0.28538559 0.25984772 0.04558257 ... 0.02348186 0.26640366 0.26640366],4
[0.36814809 0.05786502 0.         ... 0.         0.         0.        ],5
[0.30484645 0.20314122 0.1769837  ... 0.08460068 0.17089465 0.21948835],1
[0.18539622 0.03063819 0.05854387 ... 0.01889461 0.         0.        ],5
[0.09351004 0.         0.         ... 0.070203   0.01038741 0.        ],4
[0.57149791 0.05317348 0.01908449 ... 0.25659431 0.16282262 0.2291779 ],3
[0.07593412 0.02367832 0.00791435 ... 0.02118303 0.00830206 0.01764567],7
[0.14325166 0.09311894 0.16181932 ... 0.01212763 0.02927089 0.01743424],7
[0.22196181 0.19743796 0.1416498  ... 0.         0.05048376 0.01304299],5
[0.05088043 0.         0.01500016 ... 0.40704033 0.05279111 0.00793531],5
[0.16319366 0.01635324 0.         ... 0.         0.         0.        ],5
[0.37988011 0.         0.         ... 0.         0.         0.        ],5
[0.27741806 0.18657446 0.14491514 ... 0.0214213  0.03594324 0.05761907],5
[0.26172126 0.12592401 0.16766908 ... 0.02722032 0.02327692 0.00793602],5
[0.31738832 0.08775258 0.         ... 0.02538546 0.         0.        ],5
[0.35470316 0.0306666  0.         ... 0.45423339 0.08442727 0.03411189],4
[0.         0.         0.         ... 0.11705874 0.08162652 0.0067172 ],3
[0.03206284 0.02877707 0.19910514 ... 0.04888859 0.02576655 0.04751117],5
[0.25952251 0.25952251 0.25952251 ... 0.07731006 0.02815754 0.06451656],5
[0.40127458 0.19749664 0.         ... 0.         0.         0.        ],4
[0.07452276 0.05111184 0.05750039 ... 0.13311358 0.03392869 0.07884079],0
[0.35066565 0.05342906 0.         ... 0.         0.         0.        ],6
[0.18415701 0.0134304  0.04507299 ... 0.19541292 0.13756575 0.09963884],1
[0.07171215 0.         0.         ... 0.06520839 0.06880067 0.16464652],2
[0.42230707 0.         0.15608918 ... 0.14479679 0.06056765 0.09730532],2
[0.18236603 0.05278452 0.14657383 ... 0.11524012 0.09304063 0.02033823],5
[0.36512749 0.01486742 0.07141472 ... 0.0607089  0.10191931 0.15616068],2
[0.189407   0.06424686 0.04625901 ... 0.0054454  0.07244629 0.04205123],1
[0.23675514 0.16220602 0.23675514 ... 0.10696673 0.11301556 0.07745191],5
[0.32040396 0.00925496 0.02064481 ... 0.0135203  0.10779339 0.1947088 ],3
[0.26740801 0.08404493 0.         ... 0.         0.         0.        ],4
[0.18849416 0.10972693 0.06034774 ... 0.23754873 0.11161988 0.        ],3
[0.25440017 0.04110558 0.05919247 ... 0.03441947 0.21646968 0.20378785],5
[0.02781567 0.         0.         ... 0.03371721 0.         0.        ],5
[0.12312038 0.         0.07456675 ... 0.         0.         0.        ],5
[0.36709354 0.         0.         ... 0.         0.         0.        ],0
[0.22428635 0.03996328 0.08971384 ... 0.12265395 0.30336934 0.30336934],5
[0.13441091 0.05009199 0.         ... 0.         0.07160878 0.        ],4
[0.17000099 0.25498832 0.20117178 ... 0.09079915 0.01503387 0.0212611 ],1
[0.31561375 0.06459508 0.         ... 0.09844822 0.04888735 0.        ],7
[0.28523337 0.28523337 0.17563049 ... 0.06921701 0.06883391 0.23629796],5
[0.2761174 0.        0.        ... 0.        0.        0.       ],3
[0.21044163 0.0281332  0.0083478  ... 0.00588547 0.         0.        ],3
[0.22439748 0.25137748 0.25137748 ... 0.38118586 0.2182816  0.00660077],4
[0.28628418 0.18625254 0.0778224  ... 0.11098922 0.14503632 0.24677562],5
[0. 0. 0. ... 0. 0. 0.],2
[0.22102718 0.04770242 0.15052739 ... 0.07743487 0.11737269 0.0953977 ],0
[0.26110339 0.11915323 0.01845517 ... 0.02781481 0.16851241 0.21274874],6
[0.25444238 0.         0.04497948 ... 0.08033733 0.01250358 0.        ],5
[0.40711264 0.         0.         ... 0.01588424 0.         0.        ],5
[0.24393125 0.04004959 0.05346071 ... 0.00325839 0.03243115 0.07303973],5
[0.28559532 0.23227842 0.09163048 ... 0.12861923 0.0856381  0.        ],2
[0.33019082 0.04022209 0.05107328 ... 0.         0.19742269 0.        ],5
[0.2425338  0.2425338  0.0732131  ... 0.39221964 0.33272166 0.1171352 ],1
[0. 0. 0. ... 0. 0. 0.],5
[0.04896336 0.         0.35247293 ... 0.         0.         0.        ],5
[0.10323099 0.18553209 0.13657095 ... 0.05852643 0.13843979 0.02969375],0
[0.         0.         0.         ... 0.26901018 0.0718407  0.04815723],6
[0.42009629 0.23771562 0.01972466 ... 0.03285166 0.02342019 0.        ],4
[0.34677914 0.34677914 0.0419343  ... 0.07883467 0.10697061 0.08752897],2
[0.04350983 0.02399869 0.02463977 ... 0.04559914 0.14477796 0.12679625],0
[0.13299889 0.1516774  0.30995346 ... 0.29243295 0.29243295 0.23496172],1
[0.27965196 0.05327128 0.07691475 ... 0.         0.         0.        ],7
[0.24283027 0.05830516 0.10207865 ... 0.1056383  0.09648821 0.05419831],0
[0.10225001 0.02359179 0.14536743 ... 0.03887298 0.28107106 0.33963883],4
[0.35150161 0.05151522 0.03506453 ... 0.         0.         0.04698588],4
[0.0536341  0.0253918  0.03213482 ... 0.07194963 0.42948781 0.15365376],4
[0.26894541 0.06852479 0.         ... 0.         0.         0.        ],4
[0.14595865 0.         0.01013602 ... 0.         0.         0.        ],6
[0.02839684 0.         0.         ... 0.         0.         0.02629263],5
[0.         0.         0.         ... 0.23477056 0.21715383 0.09165028],1
[0.         0.         0.         ... 0.16990519 0.08743137 0.        ],5
[0.37983715 0.02598108 0.         ... 0.         0.         0.        ],5
[0.36688742 0.36688742 0.         ... 0.10751237 0.06153344 0.        ],4
[0.40051091 0.         0.         ... 0.         0.07340926 0.        ],5
[0.19527554 0.057426   0.13521068 ... 0.19844984 0.27046621 0.04429408],4
[0.09272238 0.0241395  0.         ... 0.         0.         0.        ],5
[0.31662753 0.1365667  0.00678474 ... 0.00998682 0.20981514 0.0756579 ],5
[0.19176044 0.30038309 0.10462602 ... 0.09287334 0.04414974 0.00852864],4
[0.42569121 0.         0.04406359 ... 0.00995058 0.05436153 0.05719771],5
[0.35802575 0.05086622 0.         ... 0.05584254 0.09963077 0.        ],7
[0. 0. 0. ... 0. 0. 0.],0
[0.41477873 0.         0.03548523 ... 0.2609958  0.20406929 0.06290952],2
[0.20298341 0.12425923 0.1013181  ... 0.         0.43462797 0.19983733],5
[0.40400561 0.02952573 0.         ... 0.         0.         0.        ],6
[0.18564479 0.03243475 0.         ... 0.         0.19752893 0.        ],6
[0.12374858 0.00832501 0.04636914 ... 0.07333005 0.17324385 0.28294537],5
[0.31997472 0.08707179 0.10312402 ... 0.20527998 0.04987879 0.11237784],0
